%time,field.header.seq,field.header.stamp,field.time_stamp,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm
1.52847307443125E+018,4109,1.52847307443097E+018,39112,65155,61973,-26,17
1.5284730744892E+018,4110,1.52847307448885E+018,39172,65059,62018,-26,19
1.52847307451152E+018,4111,1.52847307451112E+018,39192,65027,62033,-26,18
1.52847307456919E+018,4112,1.52847307456882E+018,39252,64931,62083,-27,17
1.52847307459116E+018,4113,1.52847307459079E+018,39272,64899,62098,-26,18
1.5284730746513E+018,4114,1.52847307465092E+018,39332,64802,62145,-26,18
1.52847307471123E+018,4115,1.52847307471081E+018,39392,64703,62195,-25,17
1.52847307477132E+018,4116,1.528473074771E+018,39452,64607,62241,-27,19
1.52847307482911E+018,4117,1.52847307482882E+018,39512,64509,62290,-26,17
1.52847307485116E+018,4118,1.52847307485087E+018,39532,64478,62304,-27,17
1.52847307491022E+018,4119,1.52847307490985E+018,39592,64381,62350,-27,19
1.52847307496806E+018,4120,1.52847307496765E+018,39652,64284,62401,-27,16
1.5284730749903E+018,4121,1.52847307498985E+018,39672,64253,62415,-27,17
1.52847307505009E+018,4122,1.52847307504971E+018,39732,64155,62462,-26,18
1.52847307510796E+018,4123,1.52847307510772E+018,39792,64057,62511,-27,17
1.52847307513026E+018,4124,1.52847307512983E+018,39812,64025,62525,-28,19
1.52847307518997E+018,4125,1.52847307518957E+018,39872,63944,62553,-20,13
1.5284730752503E+018,4126,1.52847307524991E+018,39932,63870,62579,-24,14
1.52847307530991E+018,4127,1.52847307530954E+018,39992,63793,62606,-23,14
1.52847307537009E+018,4128,1.52847307536963E+018,40052,63720,62629,-25,15
1.52847307542902E+018,4129,1.52847307542857E+018,40112,63649,62651,-26,16
1.52847307548701E+018,4130,1.52847307548659E+018,40172,63571,62675,-22,15
1.52847307550906E+018,4131,1.52847307550867E+018,40192,63546,62683,-23,14
1.52847307556919E+018,4132,1.52847307556864E+018,40252,63468,62711,-22,13
1.52847307562691E+018,4133,1.52847307562652E+018,40312,63393,62735,-24,15
1.52847307564899E+018,4134,1.52847307564858E+018,40332,63367,62743,-23,15
1.52847307570689E+018,4135,1.52847307570651E+018,40392,63291,62766,-24,15
1.52847307572918E+018,4136,1.5284730757288E+018,40412,63265,62775,-23,15
1.52847307578898E+018,4137,1.5284730757887E+018,40472,63208,62769,-19,0
1.52847307584674E+018,4138,1.5284730758464E+018,40532,63146,62768,-16,-2
1.528473075869E+018,4139,1.52847307586846E+018,40552,63131,62764,-21,0
1.52847307592781E+018,4140,1.52847307592746E+018,40612,63076,62757,-20,0
1.52847307594876E+018,4141,1.52847307594837E+018,40632,63059,62754,-19,0
1.52847307600891E+018,4142,1.52847307600848E+018,40692,63005,62751,-20,-1
1.5284730760677E+018,4143,1.52847307606734E+018,40752,62950,62745,-20,0
1.52847307612571E+018,4144,1.52847307612531E+018,40812,62894,62745,-19,-3
1.52847307614771E+018,4145,1.52847307614729E+018,40832,62875,62745,-19,-3
1.52847307620744E+018,4146,1.52847307620721E+018,40892,62840,62722,-15,-7
1.5284730762676E+018,4147,1.52847307626726E+018,40952,62805,62703,-15,-9
1.52847307632756E+018,4148,1.52847307632716E+018,41012,62767,62679,-14,-7
1.52847307638753E+018,4149,1.52847307638719E+018,41072,62737,62652,-17,-5
1.52847307644754E+018,4150,1.52847307644721E+018,41132,62703,62623,-16,-4
1.52847307650752E+018,4151,1.52847307650716E+018,41192,62669,62597,-16,-6
1.52847307656644E+018,4152,1.52847307656607E+018,41252,62650,62562,-8,-16
1.52847307662444E+018,4153,1.52847307662403E+018,41312,62626,62528,-5,-16
1.52847307664643E+018,4154,1.52847307664607E+018,41332,62619,62515,-4,-17
1.52847307670417E+018,4155,1.52847307670393E+018,41392,62596,62483,-6,-18
1.52847307672653E+018,4156,1.52847307672609E+018,41412,62587,62470,-3,-17
1.52847307678422E+018,4157,1.52847307678389E+018,41472,62564,62441,-5,-19
1.5284730768062E+018,4158,1.52847307680591E+018,41492,62555,62431,-4,-19
1.52847307686429E+018,4159,1.52847307686394E+018,41552,62530,62396,-4,-17
1.52847307688624E+018,4160,1.528473076886E+018,41572,62521,62386,-4,-18
1.52847307694631E+018,4161,1.52847307694592E+018,41632,62495,62354,-4,-18
1.52847307700625E+018,4162,1.52847307700587E+018,41692,62471,62324,-5,-19
1.52847307706616E+018,4163,1.52847307706582E+018,41752,62448,62291,-5,-18
1.52847307712416E+018,4164,1.52847307712382E+018,41812,62423,62259,-4,-19
1.52847307714621E+018,4165,1.52847307714595E+018,41832,62413,62248,-3,-18
1.52847307720518E+018,4166,1.52847307720482E+018,41892,62385,62215,-2,-19
1.52847307722611E+018,4167,1.52847307722571E+018,41912,62377,62205,-3,-20
1.5284730772851E+018,4168,1.52847307728478E+018,41972,62354,62174,-4,-20
1.52847307734324E+018,4169,1.52847307734276E+018,42032,62329,62142,-3,-19
1.52847307736503E+018,4170,1.52847307736474E+018,42052,62321,62130,-3,-19
1.528473077423E+018,4171,1.52847307742268E+018,42112,62294,62097,-2,-19
1.52847307744506E+018,4172,1.52847307744475E+018,42132,62285,62086,-2,-19
1.52847307750301E+018,4173,1.52847307750267E+018,42192,62291,62077,11,-12
1.52847307752512E+018,4174,1.52847307752475E+018,42212,62291,62077,9,-16
1.52847307758527E+018,4175,1.52847307758489E+018,42272,62291,62070,14,-13
1.52847307764493E+018,4176,1.52847307764457E+018,42332,62292,62063,13,-13
1.52847307770413E+018,4177,1.52847307770371E+018,42392,62298,62059,11,-15
1.52847307776198E+018,4178,1.52847307776153E+018,42452,62306,62051,10,-13
1.52847307778499E+018,4179,1.52847307778467E+018,42472,62307,62048,12,-13
1.52847307784403E+018,4180,1.52847307784364E+018,42532,62309,62039,13,-13
1.52847307790196E+018,4181,1.52847307790154E+018,42592,62310,62032,14,-14
1.52847307792397E+018,4182,1.52847307792361E+018,42612,62310,62030,14,-14
1.52847307798384E+018,4183,1.52847307798347E+018,42672,62312,62026,14,-15
1.52847307804382E+018,4184,1.52847307804349E+018,42732,62318,62019,12,-14
1.52847307810386E+018,4185,1.52847307810355E+018,42792,62326,62007,11,-12
1.52847307816381E+018,4186,1.52847307816352E+018,42852,62331,61999,12,-14
1.5284730782238E+018,4187,1.52847307822346E+018,42912,62333,61995,14,-16
1.52847307828376E+018,4188,1.52847307828331E+018,42972,62334,61990,15,-15
1.52847307834278E+018,4189,1.52847307834238E+018,43032,62339,61984,13,-15
1.52847307840046E+018,4190,1.52847307840013E+018,43092,62347,61976,12,-14
1.52847307842368E+018,4191,1.52847307842333E+018,43112,62350,61974,12,-15
1.52847307848256E+018,4192,1.5284730784822E+018,43172,62356,61967,13,-15
1.52847307854046E+018,4193,1.52847307854016E+018,43232,62363,61959,12,-14
1.5284730785628E+018,4194,1.52847307856246E+018,43252,62365,61956,12,-15
1.52847307862254E+018,4195,1.52847307862221E+018,43312,62371,61947,13,-14
1.52847307868267E+018,4196,1.52847307868232E+018,43372,62380,61940,12,-15
1.52847307874258E+018,4197,1.52847307874217E+018,43432,62386,61929,13,-13
1.52847307880276E+018,4198,1.52847307880237E+018,43492,62391,61920,14,-14
1.5284730788626E+018,4199,1.52847307886216E+018,43552,62395,61911,14,-15
1.52847307892259E+018,4200,1.52847307892217E+018,43612,62400,61898,14,-13
1.52847307898147E+018,4201,1.52847307898108E+018,43672,62407,61888,13,-14
1.52847307903939E+018,4202,1.52847307903901E+018,43732,62412,61877,14,-14
1.52847307906159E+018,4203,1.52847307906119E+018,43752,62415,61873,14,-14
1.52847307911941E+018,4204,1.52847307911901E+018,43812,62421,61865,14,-15
1.5284730791413E+018,4205,1.5284730791409E+018,43832,62422,61862,14,-15
1.52847307919924E+018,4206,1.52847307919889E+018,43892,62428,61851,14,-14
1.52847307922133E+018,4207,1.52847307922097E+018,43912,62431,61849,13,-15
1.52847307927918E+018,4208,1.52847307927888E+018,43972,62440,61838,13,-14
1.52847307930155E+018,4209,1.52847307930121E+018,43992,62443,61834,12,-14
1.5284730793614E+018,4210,1.52847307936097E+018,44052,62451,61821,13,-13
1.52847307941951E+018,4211,1.52847307941906E+018,44112,62461,61811,12,-15
1.52847307944127E+018,4212,1.52847307944088E+018,44132,62464,61807,12,-14
1.52847307950121E+018,4213,1.52847307950083E+018,44192,62474,61795,13,-14
1.52847307956135E+018,4214,1.52847307956095E+018,44252,62485,61782,12,-14
1.52847307962024E+018,4215,1.52847307961987E+018,44312,62494,61771,13,-15
1.5284730796782E+018,4216,1.52847307967779E+018,44372,62500,61762,15,-16
1.52847307970114E+018,4217,1.52847307970081E+018,44392,62501,61759,16,-16
1.52847307976013E+018,4218,1.52847307975981E+018,44452,62506,61751,15,-16
1.52847307981798E+018,4219,1.52847307981766E+018,44512,62514,61741,14,-15
1.52847307984006E+018,4220,1.52847307983972E+018,44532,62517,61736,14,-15
1.52847307990014E+018,4221,1.52847307989982E+018,44592,62526,61724,14,-15
